7.3762,5.0768,4.7432,7.1655
3.2025,5.4124,5.0663,2.6666
5.7377,4.8971,5.3415,7.629
5.0766,5.3837,5.1513,6.5576
5.2061,5.9268,4.8335,5.7532
3.4658,6.1068,5.2329,4.4229
5.0426,4.4276,4.6426,4.5816
5.2892,6.2024,6.0986,5.0391
6.8303,7.5511,4.6064,3.495
3.9191,5.1511,5.6875,3.5673
3.2098,6.3506,8.1914,3.8124
3.0827,5.0168,5.1765,6.6578
4.9001,4.9542,4.8226,5.0511
6.9138,3.8614,4.2133,5.6403
5.4434,5.8297,3.8617,5.2288
4.9501,6.5837,4.9556,5.3746
4.8972,5.5096,4.6287,5.166
4.3911,3.0846,5.5918,4.9195
3.9332,5.3418,5.2927,7.3937
6.1835,3.8872,5.7455,5.4803
5.5758,5.2392,5.9235,5.0505
5.48,4.9305,4.8353,4.3453
5.3543,5.3829,5.0867,4.8973
5.5605,4.9413,4.218,6.2024
3.209,5.7446,4.3795,6.6624
5.9223,4.9901,3.7804,4.94
6.7626,4.9416,6.7579,5.53
5.307,5.1957,4.9901,5.472
5.6012,4.5413,3.4303,4.9358
6.5209,6.813,4.5446,5.4597
5.1626,4.9391,5.6184,6.9006
4.7878,6.9245,7.2748,5.0772
3.8879,4.2604,5.0573,6.766
4.8036,5.9878,5.9204,5.1894
5.3508,4.9983,7.2682,3.2315
2.9544,5.5396,4.0452,5.4196
3.7093,4.7327,5.1709,5.209
3.9199,5.3299,5.5509,3.0796
6.5936,4.7874,4.3983,5.2033
6.2125,4.8458,5.3643,4.9881
4.7997,5.5741,5.3403,7.4649
7.2619,2.5788,5.1127,4.4604
4.9693,7.4278,5.0206,3.4806
4.2595,5.3395,4.7765,4.961
4.7653,3.4573,4.5888,5.1788
6.8036,5.0507,4.6884,4.2236
5.8523,5.5593,5.2911,4.9997
5.5617,6.9381,5.0957,2.9155
3.0911,5.0426,3.39,6.6591
5.2311,5.1985,5.2329,7.0849
4.4242,3.4306,4.2244,5.016
5.0096,5.8541,5.086,5.7626
6.8879,6.1263,6.8518,7.0622
4.5435,6.4126,5.0318,4.9834
7.504,5.4953,5.0359,6.4093
4.7734,2.5903,4.2372,4.2593
3.769,7.5439,5.7116,4.6744
