,individual_id_i,apt_id_j,family_size_i,logsqfeet_j,bath_j,outdoor_j,y_ij
0,0,0,3,6.586632020803604,1,0,0
1,0,1,3,6.599849324346432,1,1,0
2,0,2,3,6.4672988656217045,1,0,1
3,0,3,3,6.5766495872403805,1,0,0
4,0,4,3,6.451447030439853,1,0,0
5,0,5,3,6.534863445375057,1,0,0
6,0,6,3,6.571389973206757,1,1,0
7,0,7,3,6.631523865804057,2,0,0
8,0,8,3,6.465911250911353,1,0,0
9,0,9,3,6.4370981309470325,2,0,0
10,0,10,3,6.714687526725715,1,0,0
11,0,11,3,6.334515820149336,1,1,0
12,0,12,3,6.579398711617136,1,1,0
13,0,13,3,6.536994886047653,2,1,0
14,0,14,3,6.644498415679006,2,1,0
15,0,15,3,6.489550104642904,1,0,0
16,0,16,3,6.394917092057447,1,0,0
17,0,17,3,6.568609389955854,1,0,0
18,0,18,3,6.340146576118668,1,1,0
19,0,19,3,6.390820519739856,2,0,0
20,1,0,3,6.586632020803604,1,0,0
21,1,1,3,6.599849324346432,1,1,0
22,1,2,3,6.4672988656217045,1,0,0
23,1,3,3,6.5766495872403805,1,0,0
24,1,4,3,6.451447030439853,1,0,0
25,1,5,3,6.534863445375057,1,0,0
26,1,6,3,6.571389973206757,1,1,0
27,1,7,3,6.631523865804057,2,0,0
28,1,8,3,6.465911250911353,1,0,0
29,1,9,3,6.4370981309470325,2,0,0
30,1,10,3,6.714687526725715,1,0,0
31,1,11,3,6.334515820149336,1,1,0
32,1,12,3,6.579398711617136,1,1,0
33,1,13,3,6.536994886047653,2,1,0
34,1,14,3,6.644498415679006,2,1,1
35,1,15,3,6.489550104642904,1,0,0
36,1,16,3,6.394917092057447,1,0,0
37,1,17,3,6.568609389955854,1,0,0
38,1,18,3,6.340146576118668,1,1,0
39,1,19,3,6.390820519739856,2,0,0
40,2,0,2,6.586632020803604,1,0,0
41,2,1,2,6.599849324346432,1,1,0
42,2,2,2,6.4672988656217045,1,0,0
43,2,3,2,6.5766495872403805,1,0,0
